iter	Passed	Remaining
0	81	81389
1	142	71105
2	218	72647
3	289	72157
4	363	72285
5	451	74818
6	536	76056
7	609	75535
8	675	74390
9	759	75237
10	856	77012
11	929	76552
12	1004	76266113	1072	75566114	1150	75555115	1228	75560116	1310	75768117	1399	76340118	1467	75790119	1560	76453220	1648	76830221	1725	76700222	1804	76654223	1881	7650224	1942	75762
25	2011	75359
26	2079	74954
227	2200	76376228	2296	76878229	2364	7646530	2412	75407
331	2565	77604332	2687	78747333	2822	80194334	2904	80078335	3023	80964
36	3109	80921337	3197	80950
38	3264	80434339	3347	80336
40	3435	80368
41	3512	80112
42	3573	79523
43	3637	79028444	3705	78646445	3782	78437446	3856	78206447	3921	77785448	4004	77717449	4074	77413550	4144	77122551	4216	76861552	4293	76709553	4380	76732554	4460	76631
55	4530	76373556	4615	76353
57	4687	76127
58	4754	75836
59	4819	75500660	4885	75204661	4958	75013662	5028	74783663	5101	74609664	5168	74341665	5218	7385066	5184	72192
67	5238	71798
668	5403	72908669	5468	72652770	5522	72257771	5586	72007772	5661	71887773	5712	71477774	5758	71027775	5797	70488776	5840	70008777	5892	69649778	5941	69267
79	5965	68607880	5995	68025
81	6034	67554
82	6072	67088883	6132	66874884	6165	66364885	6216	66063886	6262	65723
87	6302	65321
88	6350	65005
89	6396	64680
90	6430	64237
91	6471	63867992	6514	63535993	6559	63221994	6605	62923995	6642	62551996	6688	62261997	6741	62045998	6786	61763999	6838	615501100	6880	612441101	6928	609951102	6994	60912
103	7042	60676
104	7086	60401
105	7142	60241
106	7181	59933
107	7231	59728
108	7290	59598
109	7338	59377
110	7390	59189
111	7431	58921
112	7478	58699
113	7523	58474
114	7569	58249
115	7620	58074
116	7673	57910
117	7707	57612
118	7761	57460
119	7805	57238
120	7846	56999
121	7890	56787
122	7934	565771123	7987	56425
124	8030	562141125	8062	559241126	8098	556721127	8151	555281128	8194	553261129	8238	551341130	8283	549521131	8332	547891132	8372	545811133	8421	544271134	8468	542611135	8506	540431136	8550	538601137	8608	537741138	8653	536001139	8690	533851140	8735	532171141	8779	530481142	8821	528681143	8868	527201144	8924	52621
145	8970	52468
146	9018	52332
147	9066	52194
148	9099	51973
149	9132	517521150	9167	515431151	9215	514131152	9268	513121153	9313	51165
154	9361	51032
155	9418	50954
156	9468	50839
157	9502	50642
158	9548	505031159	9591	503551160	9645	502651161	9712	50242
162	9764	50141
163	9812	50021
164	9855	49874
165	9903	49755
166	9947	49619
167	9994	49497
168	10038	49361
169	10079	49210
170	10123	49080
171	10171	48966
172	10208	48799
173	10257	48693
174	10307	48590
175	10353	48471
176	10405	48383
177	10454	48280
178	10497	48145
179	10540	48015
180	10591	47925
181	10642	47831
182	10682	47691
183	10738	47622
184	10794	47555
185	10838	47433
186	10872	47270
187	10912	47130
188	10957	47019
189	10995	46874
190	11040	46763
191	11086	46656
192	11120	46497
193	11166	46392
194	11214	46295
195	11258	46183
196	11297	46048
197	11344	45952
198	11386	45832
199	11420200	112200	11476	45620
201	11533	45564
202	11571	45432
203	11626	45368
204	11668	45250
205	11718	45169
206	11790	45166
207	11837	45073
208	11874	44942
209	11925	44862
210	11967	44748
211	12017	44668
212	12063	44572
213	12111	44483
214	12150	44364
215	12198	44277
216	12248	44196
217	12290	44088
218	12343	44019
219	12386	43916
220	12430	43814
221	12485	43754
222	12532	43667
223	12586	43602
224	12633	43516
225	12679	43425
226	12723	43325
227	12759	43203
228	12809	43125
229	12850	43021
230	12901	42949
231	12946	42856
232	12986	42748
233	13027	42645
234	13065	42532
235	13121	42476
236	13172	42406
237	13216	42316
238	13260	42222
239	13299	42114
240	13343	42023
241	13396	41961
242	13442	41876
243	13496	41816
244	13536	41714
245	13583	41634
246	13630	41553
247	13686	41500
248	13732	41418
249	13782	41348
250	13838	41295
251	13885	41215
252	13922	41107
253	13965	41016
254	14011	40936
255	14053	40842
256	14098	40758
257	14140	40667
258	14190	40598
259	14240	40529
260	14277	40426
261	14318	40331
262	14364	40253
263	14399	40144
264	14439	40049
265	14493	39992
266	14543	39925
267	14587	39844
268	14636	39775
269	14680	39690
270	14722	39604
271	14763	39514
272	14808	39434
273	14852	39354
274	14885	39243
275	14938	39185
276	14974	39085
277	15026	39024
278	15076	38960
279	15127	38899
280	15176	38832
281	15221	38755
282	15273	38695
283	15320	38624
284	15361	38538
285	15400	38448
286	15447	38377
287	15504	38330
288	15544	38243
289	15594	38178
290	15645	38118
291	15684	38029
292	15730	37958
293	15772	37875
294	15811	37785
295	15867	37738
296	15907	37653
297	15944	37561
298	15991	37492
299	16046	37442
300	16094	37375
301	16137	37298
302	16184	37228
303	16227	37152
304	16267	37067
305	16310	36991
306	16358	36927
307	16400	36847
308	16447	36780
309	16490	36705
310	16524	36609
311	16571	36542
312	16610	36457
313	16661	36401
314	16711	36341
315	16760	36278
316	16818	36237
317	16858	36155
318	16899	36076
319	16942	36002
320	16993	35945
321	17047	35894
322	17094	35829
323	17131	35744
324	17174	35670
325	17223	35609
326	17270	35544
327	17321	35487
328	17363	35413
329	17413	35355
330	17465	35301
331	17523	35257
332	17572	35196
333	17628	35151
334	17680	35098
335	17737	35052
336	17783	34986
337	17824	34911
338	17880	34863
339	17928	34801
340	17972	34732
341	18019	34668
342	18055	34584
343	18098	34512
344	18144	34448
345	18186	34375
346	18220	34288
347	18265	34220
348	18321	34175
349	18359	34095
350	18405	34032
351	18453	33971
352	18505	33918
353	18549	33850
354	18592	33779
355	18623	33690
356	18660	33609
357	18705	33544
358	18756	33490
359	18806	33434
360	18854	33374
361	18897	33305
362	18941	33239
363	18981	33165
364	19020	33089
365	19064	33023
366	19106	32954
367	19153	32894
368	19203	32838
369	19238	32757
370	19275	32680
371	19316	32609
372	19373	32566
373	19415	32497
374	19461	32435
375	19508	32375
376	19554	32314
377	19599	32250
378	19647	32192
379	19688	32123
380	19731	32057
381	19769	31983
382	19815	31922
383	19853	31848
384	19894	31779
385	19942	31721
386	19996	31674
387	20042	31614
388	20093	31560
389	20135	31494
390	20174	31423
391	20213	31351
392	20263	31297
393	20312	31242
394	20351	31171
395	20400	31115
396	20446	31056
397	20495	31000
398	20536	30933
399	20576	30865
400	20607	30782
401	20645	30711
402	20688	30648
403	20725	30575
404	20766	30509
405	20810	30447
406	20853	30383
407	20892	30314
408	20934	30249
409	20982	30193
410	21032	30141
411	21081	30087
412	21124	30024
413	21179	29978
414	21233	29931
415	21268	29858
416	21305	29787
417	21352	29730
418	21401	29676
419	21451	29622
420	21505	29576
421	21546	29512
422	21598	29461
423	21646	29406
424	21687	29341
425	21735	29286
426	21786	29236
427	21856	29209
428	21904	29155
429	21951	29099
430	21990	29030
431	22038	28976
432	22089	28925
433	22145	28880
434	22196	28829
435	22248	28780
436	22291	28719
437	22338	28662
438	22382	28602
439	22426	28542
440	22466	28478
441	22505	28412
442	22546	28348
443	22586	28283
444	22625	28217
445	22679	28171
446	22727	28116
447	22771	28057
